[2026-05-06 23:32:16.906] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:16.945] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:16.985] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.025] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.105] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.145] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.185] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.225] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.385] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.425] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.585] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.625] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.905] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.946] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:17.985] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.026] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.186] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.226] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.266] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.346] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.386] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.426] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.466] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.546] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.586] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.626] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.706] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.786] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:18.906] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:19.066] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:19.106] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:21.382] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:21.422] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:22.783] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:33.706] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:33.746] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:34.546] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:34.586] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:34.666] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:34.746] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.026] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.146] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.186] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.226] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.346] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.787] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:35.826] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:36.267] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:36.307] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:36.707] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:36.747] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:37.098] 30 MPH MODE off
[2026-05-06 23:32:37.153] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:47:46.179] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:47:48.500] E-STOP: no 0x370 for 520 ms
[2026-05-06 23:49:40.506] CAN closed
[2026-05-06 23:49:40.506] disconnect; closing log
